name,group,value
trends,11,29.5
fashion,472,25.2
barbie,9,28.3
Food,21470,23.8
momos,10,23.5
weird menus,2,34
misogyny,21,23.3
st  xaviers,2,34
Technology,20604,23.9
History,20940,23.8
Entertainment,22726,23.8
Sports,24441,24.9
Environment,20955,23.9
Science,20703,23.8
Education,20937,23.8
Health,21760,24.2
Politics,21827,24.1
Economy,20536,23.9
Climate change ,20399,23.8
harassment,5,28.4
us government,32,35.6
Inequality,20675,23.8
top gun,3,34.3
netflix,194,23.6
basketball,430,28.3
nba,621,37.1
china,131,25.5
coronavirus,99,26.0
inflation,36,32.6
testing,2,24.5
musk,1,27
bezos,1,27
biden,30,33
elon musk,54,24.3
donald trump,173,16.7
markets,4,21.5
ukraine,486,27.1
good morning,10,25.4
lord krishna,13,24.9
test,24,26.9
creation,2,33
pixstory,236,25.2
lord,8,25.1
high court,4,24.5
story,37,28.6
votes,2,26.5
colonialism,5,32.4
chicken,7,34.6
nature,1123,23.0
yesy,1,41
jackfruit,4,26.2
orcha,1,42
orcha trip,1,42
tourism,166,25.3
noida demolition,1,41
supertech twin towers,2,30.5
real estate,4,22.5
dosa,4,37.8
vladimir putin,73,28.6
nasser hussain,1,42
humour,69,58.8
football,5405,30.2
footle,1,42
wordle,6,31.7
nostalgia,20,22.6
transgender rights,211,24.3
transgender,225,24.7
transgender community,195,24.4
dgca,2,24
renaissance,10,21.4
beyoncé,14,22.4
dogs,105,25.3
dog lovers,41,24.6
books,1156,18.2
book,141,23.0
gender,63,25.1
writeforchange,10,21.1
dps jaipur,1,24
inequalities,5,25.8
trans youth,149,24.0
gender nonconforming,9,23.8
trans masc,2,23
genderqueer,22,24.5
gender fluidity,22,25.1
gender rights,19,23.9
gender identity,31,24.4
lgbtq+,171,25.5
lgbtqia+,157,25.5
lgbt,132,24.8
gender binary,30,24.4
lgbtq,136,25.7
trans athletes,54,24.1
lgbtqia,97,25.9
lgbtqi,52,26.9
lgbt community,55,26.5
lgbtq community,54,25.7
trans athlete,1,24
family,91,29.5
easter,18,27.2
transgender healthcare,73,22.6
nonbinary,8,25.6
gender expression,17,25
mental health,524,24.8
lgbtiqa+,32,27.3
mental health awareness,197,24.2
climate change,188,27.0
tdov,4,24
trans day of visibility,4,23.5
bougainvillea,1,24
dog,29,21.3
love,483,22.8
intersex,1,24
intersex rights,1,24
queer,12,24.6
art,342,31.6
tea,34,25.1
poland,16,27.2
gender equality,38,26.7
protecttranskids,2,24
letkidsplay,1,24
protect trans kids,3,23
gender dysphoria,1,24
poetry,406,19.3
social media,122,27.4
che guevera,1,24
photography,715,25.7
writing,77,23.0
travel,411,25.6
media,101,31.0
media critic,1,24
media misrepresentation,8,30
drag,3,28.7
delhi,177,24.8
pride,43,22.3
gender nonconformity,1,24
oscar,37,24.1
oscars,87,24.0
russia,461,29.8
ukraine invasion,232,30.5
pride month,50,21.5
pridemonth,23,18.9
gender norms,10,27.4
coffee,56,21.5
russia-ukraine border,103,34.8
conflict,7,26
paris,65,29.8
france,163,23.3
lgbtqa+,16,25.1
artist,78,28.0
protect trans youth,1,24
challenge,22,25.2
alma matter,1,35
college days,28,23.6
stephen’s,1,35
snow,31,28.5
gandhi,6,41.5
capitalism,18,38.6
baseball,17,30.6
american culture,1,35
master chef,1,35
personal history,1,35
world cup 2022,40,35.3
horse race,1,35
personal,9,22.6
seville,2,34
ips pay rules,1,49
apex pay scale,5,49
tapan kumar deka,6,49
asaduddin owaisi,1,49
ib,6,43
r&aw,2,31
samant kumar goel,1,49
republic day,64,25.8
jalianwala bagh,2,51.5
aap,25,37.5
harbhajan singh,2,47.5
afganistan,5,26.6
khalid payenda,2,35.5
kapil dev,4,38.2
plagiarism,7,33.9
pervez musharraf,1,49
tennis,544,38.5
davis cup,10,44.1
shane warne,19,29.3
sidhu moosewala,19,31.7
nadal,72,42.1
cycling,44,31.3
lata mangeshkar,49,25.9
music,729,26.0
budget,17,26.2
sonia gandhi,25,33.4
rahul gandhi,52,25.7
enforcement directorate,3,24.7
sea,28,23.9
morning,35,24.4
abortion,26,29
pro life,9,33.6
us supreme court,20,36.3
prashant kishor,5,46.6
congress,130,33.9
rajiv mehrishi,1,49
cbi,7,34.4
subodh kumar jaiswal,1,49
is,2,35.5
terrorism,35,20.0
arvind kejriwal,26,23.7
government,16,26.4
upsc,7,26.7
mehul choksi,1,49
dominica,1,49
padam awards,1,49
weight,5,30.8
40 plus,2,45
peri menopause,2,45
diet,220,24.6
weighloss,2,45
pollution,43,26.6
india,1336,27.0
celebrations,14,34.9
fun,64,26.4
morning exercise,2,45
morning breeze,2,45
breast feeding week,16,25.5
grilled sandwich,3,37.3
monkey pox,15,28.5
gay romance,13,23.2
morning walk,7,30.7
breakfast,17,31.1
buisness,2,45
independent day,16,29.1
morning water,2,45
hollywood,1120,20.6
intimacy,4,37.8
sun exposure,2,45
tom holland,10,29
celebrities,18,27.9
weekend vibes,9,30.6
life,216,22.0
god,56,28.6
goodness,2,45
corona virus,23,32.5
cdc,8,32
literature,194,23.3
literati,2,45
attack,13,27.2
covid response,2,45
pain,7,27.7
emotions,25,24.8
independence day,162,27.1
nationalism,9,41.3
dress,22,23.4
weather,76,31.1
foodie,274,22.1
foods,100,22.8
entertainment,208,21.6
weekends binge,2,45
weekends,2,45
booker prize,4,36.2
who,35,29.3
freedom,85,24.1
kashmir,529,23.3
temperature,4,32.2
health ministry india,1,45
canteen,7,23.6
