name,group,value
Sports,Sports,24441
Entertainment,Entertainment,22726
Politics,Politics,21827
Health,Health,21760
Food,Food,21470
Environment,Environment,20955
History,History,20940
Education,Education,20937
Science,Science,20703
Inequality,Inequality,20675
Technology,Technology,20604
Economy,Economy,20536
Climate change ,Climate change ,20399
football,football,5405
college life,college life,1558
sport,sport,1541
calcio,calcio,1432
india,india,1336
bollywood,bollywood,1304
the conversation,the conversation,1234
news,news,1208
books,books,1156
nature,nature,1123
hollywood,hollywood,1120
serie a,serie a,1027
sfsarsd,sfsarsd,929
chintan,chintan,820
#pixstory,#pixstory,770
music,music,729
photography,photography,715
juventus,juventus,650
italy,italy,622
nba,nba,621
premier league,premier league,615
manchester united,manchester united,613
cricket,cricket,610
arsenal,arsenal,606
bollywood news,bollywood news,589
usa,usa,553
tennis,tennis,544
bollywood gossip,bollywood gossip,530
kashmir,kashmir,529
australia,australia,527
bollywood life,bollywood life,527
mental health,mental health,524
soccer,soccer,524
bollywood movies,bollywood movies,521
bollywood music,bollywood music,514
covid 19,covid 19,504
events,events,495
bollywood style,bollywood style,493
psg,psg,491
afghanistan,afghanistan,491
bollywood movie,bollywood movie,490
bollywood fashion,bollywood fashion,487
ukraine,ukraine,486
love,love,483
shareyaarnow,shareyaarnow,480
fashion,fashion,472
event marketing,event marketing,472
russia,russia,461
football ⚽️,football ⚽️,458
bollywood dance,bollywood dance,453
basketball,basketball,430
travel,travel,411
poetry,poetry,406
chelsea,chelsea,394
movies,movies,384
real madrid,real madrid,379
nature photography,nature photography,378
nssdrc,nssdrc,371
kashmir valley,kashmir valley,367
newsdrum,newsdrum,364
art,art,342
aadhaar,aadhaar,337
reading,reading,317
liverpool,liverpool,317
event ideas,event ideas,309
taliban government,taliban government,307
f1,f1,298
enactusvitc,enactusvitc,298
#healthylifestyle,#healthylifestyle,290
alt news,alt news,288
#health,#health,285
calciomercato,calciomercato,284
tripura,tripura,281
uefa,uefa,279
foodie,foodie,274
memes,memes,271
movie,movie,268
#bollywood,#bollywood,266
barcelona,barcelona,265
preview,preview,258
bangladesh,bangladesh,255
fashion news,fashion news,253
chill lover radio,chill lover radio,251
#bollywood celebrities,#bollywood celebrities,251
premierleague,premierleague,248
#bollywood #legend,#bollywood #legend,247
champions league,champions league,244
english premier league,english premier league,241
fifa,fifa,238
pixstory,pixstory,236
drama,drama,235
sky,sky,233
ukraine invasion,ukraine invasion,232
manchester city,manchester city,231
jammu and kashmir,jammu and kashmir,229
inter,inter,229
#bollywood movie,#bollywood movie,229
lifestyle,lifestyle,226
transgender,transgender,225
motogp,motogp,222
diet,diet,220
cristiano ronaldo,cristiano ronaldo,219
milan,milan,219
joe biden,joe biden,218
life,life,216
la lakers,la lakers,216
transgender rights,transgender rights,211
romance,romance,210
ukraine war,ukraine war,210
culture,culture,209
entertainment,entertainment,208
anime,anime,205
africa,africa,202
england,england,199
mental health awareness,mental health awareness,197
transgender community,transgender community,195
formula 1,formula 1,195
netflix,netflix,194
literature,literature,194
bestmediainfo,bestmediainfo,194
#bollywoodl,#bollywoodl,193
narendra modi,narendra modi,192
climate change,climate change,188
nasa,nasa,187
wow womaniya,wow womaniya,187
united states,united states,184
inspirix,inspirix,184
kdrama,kdrama,182
assam,assam,181
#bollywoodmusic,#bollywoodmusic,180
delhi,delhi,177
ciclismo,ciclismo,177
featured,featured,176
sunset,sunset,174
donald trump,donald trump,173
women empowerment,women empowerment,172
lgbtq+,lgbtq+,171
covid,covid,171
nationalgames,nationalgames,171
marvel,marvel,167
gaming,gaming,167
tourism,tourism,166
france,france,163
bts,bts,163
webtoon,webtoon,163
independence day,independence day,162
friends,friends,161
flowers,flowers,160
roma,roma,159
k-drama,k-drama,159
nationalgames2022,nationalgames2022,158
lgbtqia+,lgbtqia+,157
diabetes,diabetes,157
rajdhani,rajdhani,157
college fest,college fest,155
#football,#football,155
trans youth,trans youth,149
napoli,napoli,149
uddham,uddham,149
srcc,srcc,149
covid-19,covid-19,147
canada,canada,147
a question of pride,a question of pride,145
nationalgamesofindia,nationalgamesofindia,145
vikas vaibhav,vikas vaibhav,145
feminism,feminism,144
rajguru,rajguru,143
amrish ranjan pandey,amrish ranjan pandey,142
#article14live,#article14live,142
book,book,141
enactusshiv,enactusshiv,141
silent pages,silent pages,140
the probe,the probe,138
south korea,south korea,138
#health research,#health research,138
goa,goa,137
la liga,la liga,137
lgbtq,lgbtq,136
pakistan,pakistan,136
analysis,analysis,136
looking back,looking back,136
#sfsarsd,#sfsarsd,134
college,college,133
avisha,avisha,133
lgbt,lgbt,132
beauty,beauty,132
italia,italia,132
friendshipday22,friendshipday22,132
ucraina,ucraina,132
aagaaz,aagaaz,132
#bolly,#bolly,132
china,china,131
fashion trends,fashion trends,131
congress,congress,130
bjp,bjp,130
funny memes,funny memes,130
united kingdom,united kingdom,129
hollywood news,hollywood news,129
imagism,imagism,129
visualization,visualization,128
ferrari,ferrari,126
ukraine crisis,ukraine crisis,126
festival,festival,126
hult,hult,125
movie review,movie review,124
healthcare,healthcare,124
fashion update,fashion update,124
art show,art show,124
social media,social media,122
meme,meme,122
contemporary afghanistan,contemporary afghanistan,122
paris saint germain,paris saint germain,122
lionel messi,lionel messi,122
veganism,veganism,122
women's rights,women's rights,121
hollywood life,hollywood life,121
wimbledon,wimbledon,120
peace,peace,120
friendship,friendship,120
cinema,cinema,119
animals,animals,119
diary of a cop,diary of a cop,119
